Category: All categories

Month,1s: (China)
2004-01,1
2004-02,1
2004-03,2
2004-04,1
2004-05,1
2004-06,1
2004-07,1
2004-08,1
2004-09,1
2004-10,1
2004-11,2
2004-12,2
2005-01,1
2005-02,1
2005-03,1
2005-04,2
2005-05,2
2005-06,2
2005-07,2
2005-08,1
2005-09,1
2005-10,1
2005-11,1
2005-12,1
2006-01,2
2006-02,2
2006-03,1
2006-04,2
2006-05,1
2006-06,2
2006-07,2
2006-08,2
2006-09,1
2006-10,1
2006-11,1
2006-12,1
2007-01,2
2007-02,2
2007-03,1
2007-04,3
2007-05,1
2007-06,1
2007-07,1
2007-08,1
2007-09,2
2007-10,2
2007-11,2
2007-12,2
2008-01,2
2008-02,2
2008-03,2
2008-04,2
2008-05,2
2008-06,1
2008-07,1
2008-08,2
2008-09,2
2008-10,2
2008-11,2
2008-12,1
2009-01,1
2009-02,1
2009-03,2
2009-04,2
2009-05,2
2009-06,2
2009-07,2
2009-08,2
2009-09,2
2009-10,2
2009-11,2
2009-12,2
2010-01,2
2010-02,2
2010-03,2
2010-04,2
2010-05,2
2010-06,2
2010-07,3
2010-08,3
2010-09,3
2010-10,4
2010-11,3
2010-12,3
2011-01,2
2011-02,3
2011-03,3
2011-04,3
2011-05,2
2011-06,3
2011-07,2
2011-08,2
2011-09,3
2011-10,4
2011-11,2
2011-12,3
2012-01,2
2012-02,2
2012-03,2
2012-04,2
2012-05,3
2012-06,2
2012-07,2
2012-08,41
2012-09,71
2012-10,77
2012-11,58
2012-12,50
2013-01,46
2013-02,41
2013-03,34
2013-04,28
2013-05,22
2013-06,21
2013-07,21
2013-08,100
2013-09,57
2013-10,47
2013-11,31
2013-12,20
2014-01,16
2014-02,20
2014-03,24
2014-04,27
2014-05,58
2014-06,44
2014-07,48
2014-08,60
2014-09,69
2014-10,71
2014-11,75
2014-12,70
2015-01,82
2015-02,83
2015-03,49
2015-04,41
2015-05,49
2015-06,31
2015-07,39
2015-08,34
2015-09,31
2015-10,70
2015-11,90
2015-12,79
2016-01,22
2016-02,33
2016-03,9
2016-04,17
2016-05,14
2016-06,20
2016-07,14
2016-08,11
2016-09,12
2016-10,11
2016-11,15
2016-12,18
2017-01,40
2017-02,35
2017-03,28
2017-04,17
2017-05,30
2017-06,17
2017-07,16
2017-08,34
